study,year,location,state,elevation,region,inc_check,fungicide2,design_inc,mean_inc,mean_inc_qmr,mean_inc_sd
39,2012/2013,Ponta Grossa,PR,1021,Southern,14.69,PROCY-2,2,3.75,4.3096985,1.767766953
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,AACHECK-0,1,16.25,40.8386752,13.1497782
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,CARB+PROCY-2,1,0.5,40.8386752,0.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,DIMO+BOSC-2,1,0.5,40.8386752,0.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,FLUO-2,1,3.75,40.8386752,7.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,FLUZ-2,1,7.5,40.8386752,8.660254038
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,PROCY-2,1,3.75,40.8386752,7.5
40,2013/2014,Chapadão do Sul,MS,813,Northern,16.25,TIOF-4,1,6.25,40.8386752,2.5
41,2013/2014,Montividiu,GO,921,Northern,15,AACHECK-0,1,15,10.534188,7.393691004
41,2013/2014,Montividiu,GO,921,Northern,15,CARB+PROCY-2,1,2.5,10.534188,2.081665999
41,2013/2014,Montividiu,GO,921,Northern,15,DIMO+BOSC-2,1,1.5,10.534188,1.290994449
41,2013/2014,Montividiu,GO,921,Northern,15,FLUO-2,1,3.5,10.534188,1.914854216
41,2013/2014,Montividiu,GO,921,Northern,15,FLUZ-2,1,1,10.534188,1.154700538
41,2013/2014,Montividiu,GO,921,Northern,15,PROCY-2,1,2.25,10.534188,2.061552813
41,2013/2014,Montividiu,GO,921,Northern,15,TIOF-4,1,6.25,10.534188,6.701989754
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,AACHECK-0,1,33.25,25.1001603,12.42477364
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,CARB+PROCY-2,1,0.5,25.1001603,0.6846531969
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,DIMO+BOSC-2,1,1,25.1001603,1.629800601
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,FLUO-2,1,0.75,25.1001603,1.118033989
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,FLUZ-2,1,2.5,25.1001603,2.338535867
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,PROCY-2,1,1.25,25.1001603,1.767766953
42,2013/2014,Mauá da Serra,PR,909,Southern,33.25,TIOF-4,1,6,25.1001603,4.71036092
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,AACHECK-0,1,41.25,80.7041266,24.30277762
43,2013/2014,Ponta Grossa,PR,1021,Southern,41.25,CARB+PROCY-2,1,4.06,80.7041266,1.196783885
