study,year,location,state,elevation,region,inc_check,inc,scl_check,scl,yld_check,design_yld,fungicide2,mean_yld,mean_yld_qmr,mean_yld_sd
26,2011/2012,Palmeira,PR,820,Southern,47.5,15,NA,NA,1438,4,TIOF-4,1494,6986.295,30.69690973
26,2011/2012,Palmeira,PR,820,Southern,47.5,47.5,NA,NA,1438,4,AACHECK-0,1438,6986.295,28.09980012
27,2011/2012,São Desiderio,BA,844,Northern,100,85.42,8892.00,873.50,2369,4,FLUZ-2,3272,8761.826,46.30345559
27,2011/2012,São Desiderio,BA,844,Northern,100,89.58,8892.00,1520.00,2369,4,TIOF-4,2874,8761.826,64.81018438
27,2011/2012,São Desiderio,BA,844,Northern,100,89.58,8892.00,756.00,2369,4,PROCY-2,3097,8761.826,23.20689553
27,2011/2012,São Desiderio,BA,844,Northern,100,93.75,8892.00,1051.75,2369,4,DIMO+BOSC-2,3167,8761.826,57.23294506
27,2011/2012,São Desiderio,BA,844,Northern,100,97.92,8892.00,822.00,2369,4,FLUO-2,3120,8761.826,60.20639501
27,2011/2012,São Desiderio,BA,844,Northern,100,100,8892.00,8892.00,2369,4,AACHECK-0,2369,8761.826,39.63029144
28,2011/2012,Montividiu,GO,921,Northern,24.38,1.88,1226.1,40.2,3321,4,FLUZ-2,4114,33144.363,93.27826614
28,2011/2012,Montividiu,GO,921,Northern,24.38,1.88,1226.1,50.25,3321,4,DIMO+BOSC-2,4160,33144.363,226.7585162
28,2011/2012,Montividiu,GO,921,Northern,24.38,3.13,1226.1,120.6,3321,4,FLUO-2,4059,33144.363,266.63179709999997
28,2011/2012,Montividiu,GO,921,Northern,24.38,4.75,1226.1,402.00,3321,4,PROCY-2,4022,33144.363,73.70974454
28,2011/2012,Montividiu,GO,921,Northern,24.38,8.75,1226.1,231.15,3321,4,TIOF-4,3749,33144.363,97.67993252
28,2011/2012,Montividiu,GO,921,Northern,24.38,24.38,1226.1,1226.1,3321,4,AACHECK-0,3321,33144.363,100.2475724
29,2011/2012,Campo Verde,MT,736,Northern,3.65,0.35,NA,NA,2648,4,FLUO-2,2839,85847.102,238.8901886
29,2011/2012,Campo Verde,MT,736,Northern,3.65,0.35,NA,NA,2648,4,FLUZ-2,2984,85847.102,77.7332477
29,2011/2012,Campo Verde,MT,736,Northern,3.65,0.35,NA,NA,2648,4,PROCY-2,2827,85847.102,394.3222294
29,2011/2012,Campo Verde,MT,736,Northern,3.65,0.5,NA,NA,2648,4,DIMO+BOSC-2,2512,85847.102,98.3691646
29,2011/2012,Campo Verde,MT,736,Northern,3.65,3.65,NA,NA,2648,4,AACHECK-0,2648,85847.102,393.0024685
29,2011/2012,Campo Verde,MT,736,Northern,3.65,4.17,NA,NA,2648,4,TIOF-4,2602,85847.102,256.8416822
30,2011/2012,Faxinal,PR,991,Southern,36.75,36.75,14956.00,14956.00,3099,4,AACHECK-0,3099,46821.549,160.9094511
30,2011/2012,Faxinal,PR,993,Southern,36.75,11.5,14956.00,4280.00,3099,4,DIMO+BOSC-2,3710,46821.549,368.9657007
30,2011/2012,Faxinal,PR,994,Southern,36.75,10.25,14956.00,2868.00,3099,4,FLUO-2,3927,46821.549,206.2746468
30,2011/2012,Faxinal,PR,995,Southern,36.75,17.75,14956.00,6152.00,3099,4,FLUZ-2,3562,46821.549,251.4821408
30,2011/2012,Faxinal,PR,997,Southern,36.75,22.75,14956.00,8564.00,3099,4,PROCY-2,3644,46821.549,325.5111758
30,2011/2012,Faxinal,PR,998,Southern,36.75,34,14956.00,14428.00,3099,4,TIOF-4,3368,46821.549,228.7887859
31,2011/2012,Capão Bonito,SP,730,Southern,5,0.5,NA,NA,3656,4,FLUO-2,3675,100117.471,532.2036647
31,2011/2012,Capão Bonito,SP,730,Southern,5,0.5,NA,NA,3656,4,PROCY-2,3608,100117.471,497.5143979
