study,year,location,state,elevation,region,fungicide2,inc_check,scl_check,design_scl,mean_scl,mean_scl_qmr,mean_scl_sd
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,FLUO-2,31.28,1736,5,160,151661.21,117.7568116
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,FLUZ-2,31.28,1736,5,56,151661.21,34.15650255
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,PROCY-2,31.28,1736,5,10,151661.21,20
15,2010/2011,São Miguel do Passa Quatro,GO,1027,Northern,TIOF-4,31.28,1736,5,440,151661.21,389.5296309
16,2010/2011,Silvânia,GO,1050,Northern,AACHECK-0,36.8,4556,5,4556,2184348.29,4500
16,2010/2011,Silvânia,GO,1050,Northern,DIMO+BOSC-2,36.8,4556,5,260,2184348.29,327.4141109
16,2010/2011,Silvânia,GO,1050,Northern,FLUO-2,36.8,4556,5,166,2184348.29,106.3014581
16,2010/2011,Silvânia,GO,1050,Northern,FLUZ-2,36.8,4556,5,226,2184348.29,165.2271164
16,2010/2011,Silvânia,GO,1050,Northern,PROCY-2,36.8,4556,5,680,2184348.29,1106.947755
16,2010/2011,Silvânia,GO,1050,Northern,TIOF-4,36.8,4556,5,1030,2184348.29,1286.804829
17,2010/2011,Água Fria,GO,891,Northern,AACHECK-0,36,9480,5,9480,8351355.76,7385.842313
17,2010/2011,Água Fria,GO,891,Northern,DIMO+BOSC-2,36,9480,5,760,8351355.76,327.1594922
17,2010/2011,Água Fria,GO,891,Northern,FLUO-2,36,9480,5,2820,8351355.76,1819.697777
17,2010/2011,Água Fria,GO,891,Northern,FLUZ-2,36,9480,5,4480,8351355.76,2110.884491
17,2010/2011,Água Fria,GO,891,Northern,PROCY-2,36,9480,5,400,8351355.76,189.2969449
17,2010/2011,Água Fria,GO,891,Northern,TIOF-4,36,9480,5,5200,8351355.76,3763.416001
18,2010/2011,Ponta Grossa,PR,1021,Southern,AACHECK-0,64.5,9380,5,9380,7233103.39,4578.521951
